"TransactionNumber","Date","WeekdayIndicator","ProductDescription","CategoryDescription","UnitPrice","Zip","City","State"
100001,2002-01-01,"Weekday","Fat Free Mini Cinnamon Rolls","Sweeten Bread",4.99,"94619","Oakland","CA"
100002,2002-01-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"90403","Santa Monica","CA"
100003,2002-01-01,"Weekday","Chocolate Lovers 1/2 Gallon","Frozen Desserts",15.98,"95629","Fiddletown","CA"
100004,2002-01-01,"Weekday","Fluffy Light Sliced Whole Wheat","Bread",4.25,"94619","Oakland","CA"
100005,2002-01-01,"Weekday","Fat Free Mini Cinnamon Rolls","Sweeten Bread",4.99,"98836","Monitor","WA"
100006,2002-01-01,"Weekday","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"90250","Hawthorne","CA"
100007,2002-01-01,"Weekday","Baked Well Light Sourdough Fresh Bread","Bread",7.99,"91321","Newhall","CA"
100008,2002-01-01,"Weekday","Fat Free Mini Cinnamon Rolls","Sweeten Bread",4.99,"97377","Shedd","OR"
100009,2002-01-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"93529","June Lake","CA"
100010,2002-02-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"99160","Orient","WA"
100011,2002-02-01,"Weekday","Fluffy Light Sliced Whole Wheat","Bread",4.25,"93552","Palmdale","CA"
100012,2002-02-01,"Weekday","Icy Ice Cream Sandwiches","Frozen Desserts",4.69,"90250","Hawthorne","CA"
100013,2002-02-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"91321","Newhall","CA"
100014,2002-02-01,"Weekday","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"98836","Monitor","WA"
100015,2002-02-01,"Weekday","Icy Ice Cream Sandwiches","Frozen Desserts",4.69,"93529","June Lake","CA"
100016,2002-03-01,"Weekday","Fluffy Light Sliced Whole Wheat","Bread",4.25,"94619","Oakland","CA"
100017,2002-03-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"97813","Athena","OR"
100018,2002-03-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"91321","Newhall","CA"
100019,2002-03-01,"Weekday","Baked Well Light Sourdough Fresh Bread","Bread",7.99,"92585","Sun City","CA"
100020,2002-03-01,"Weekday","Icy Ice Cream Sandwiches","Frozen Desserts",4.69,"90250","Hawthorne","CA"
100021,2002-03-01,"Weekday","Strawberry Ice Creamy 1 Pint","Frozen Desserts",5.99,"97813","Athena","OR"
100022,2002-03-01,"Weekday","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"91206","Glendale","CA"
100023,2002-04-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"91206","Glendale","CA"
100024,2002-04-01,"Weekday","Icy Ice Cream Sandwiches","Frozen Desserts",4.69,"94558","Napa","CA"
100025,2002-04-01,"Weekday","Fat Free Mini Cinnamon Rolls","Sweeten Bread",4.99,"97492","Westfir","OR"
100026,2002-04-01,"Weekday","Light and Creamy Butter Pecan 1 Pint","Frozen Desserts",3.98,"97813","Athena","OR"
100027,2002-04-01,"Weekday","Baked Well Light Sourdough Fresh Bread","Bread",7.99,"94971","Tomales","CA"
100028,2002-04-01,"Weekday","Fluffy Light Sliced Whole Wheat","Bread",4.25,"98233","Burlington","WA"
100029,2002-04-01,"Weekday","Fluffy Light Sliced Whole Wheat","Bread",4.25,"95528","Carlotta","CA"
100030,2002-05-01,"Weekend","Light and Creamy Butter Pecan 1 Pint","Frozen Desserts",3.98,"96038","Grenada","CA"
100031,2002-05-01,"Weekend","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"97014","Cascade Locks","OR"
100032,2002-05-01,"Weekend","Light and Creamy Butter Pecan 1 Pint","Frozen Desserts",3.98,"92561","Mountain Center","CA"
100033,2002-05-01,"Weekend","Fluffy Sliced Whole Wheat","Bread",5.99,"90403","Santa Monica","CA"
100034,2002-05-01,"Weekend","Light and Creamy Butter Pecan 1 Pint","Frozen Desserts",3.98,"90250","Hawthorne","CA"
100035,2002-06-01,"Weekend","Baked Well Light Sourdough Fresh Bread","Bread",7.99,"94619","Oakland","CA"
100036,2002-06-01,"Weekend","Strawberry Ice Creamy 1 Pint","Frozen Desserts",5.99,"97476","Sixes","OR"
100037,2002-06-01,"Weekend","Fluffy Sliced Whole Wheat","Bread",5.99,"92882","Corona","CA"
100038,2002-06-01,"Weekend","Baked Well Light Sourdough Fresh Bread","Bread",7.99,"91321","Newhall","CA"
100039,2002-06-01,"Weekend","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"94558","Napa","CA"
100040,2002-07-01,"Weekday","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"94558","Napa","CA"
100041,2002-07-01,"Weekday","Baked Well Light Sourdough Fresh Bread","Bread",7.99,"94619","Oakland","CA"
100042,2002-07-01,"Weekday","Chocolate Lovers 1/2 Gallon","Frozen Desserts",15.98,"92585","Sun City","CA"
100043,2002-07-01,"Weekday","Icy Ice Cream Sandwiches","Frozen Desserts",4.69,"90250","Hawthorne","CA"
100044,2002-07-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"99160","Orient","WA"
100045,2002-07-01,"Weekday","Fluffy Sliced Whole Wheat","Bread",5.99,"98836","Monitor","WA"
100046,2002-07-01,"Weekday","Light and Creamy Butter Pecan 1 Pint","Frozen Desserts",3.98,"92882","Corona","CA"
100047,2002-07-01,"Weekday","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"98836","Monitor","WA"
100048,2002-08-01,"Weekday","Diet Lovers Vanilla 2 Gallon","Frozen Desserts",20.74,"98233","Burlington","WA"
100049,2002-08-01,"Weekday","Fat Free Mini Cinnamon Rolls","Sweeten Bread",4.99,"97492","Westfir","OR"
100050,2002-08-01,"Weekday","Fluffy Light Sliced Whole Wheat","Bread",4.25,"91321","Newhall","CA"
